Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
128,LISA in the Delivery Room for Extremely Preterm Infants,Recruiting,No Results Available,Procedure: LISA,Need for intubation and/any mechanical ventilation|Need for mechanical ventilation within 7 days of life|Mechanical Ventilation|High Frequency Ventilation|Mechanical ventilator days|Bronchopulmonary dysplasia|Severe intraventricular hemorrhage|Pneumothorax|Desaturation (SpO2 <80) and Bradycardia (HR <100) events|Proportion of infants requiring >1 LISA attempt,5 Minutes to 20 Minutes   (Child),Not Applicable,60,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Dec-24,"Venkatakrishna Kakkilaya, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT04715373,,32.8119829,-96.8392037,"Venkatakrishna Kakkilaya, Dallas",Venkatakrishna Kakkilaya,"Venkatakrishna Kakkilaya, MBBS",Dallas,614,0.293183356,0,Texas,614,40.72023363
129,ETCare: Safety and Preliminary Efficacy Trial,Completed,No Results Available,Other: #1 Respiratory Care Solution,The incidence of adverse events related to administration.|Feasibility and immediate intolerance,"Child, Adult, Older Adult",Early Phase 1,10,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,5-Sep,"McKay-Dee Hospital Center, Ogden, Utah, United States",https://ClinicalTrials.gov/show/NCT01688440,,41.1837644,-111.952635,"McKay-Dee Hospital Center, Ogden",McKay-Dee Hospital Center,"Robert D. Christensen, MD",Weber,64,0.194564555,1,Utah,64,10.23229375
130,Efficacy and Safety of a Lung Recruitment Protocol in Children With Acute Lung Injury,Completed,Has Results,Procedure: Recruitment maneuver,Oxygenation|Number of Participants With Ventilator Induced Lung Injury,"1 Month to 18 Years   (Child, Adult)",Not Applicable,12,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12-Dec,"Children's Hospital Boston, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00830284,,42.33716075,-71.10568624,"Children's Hospital Boston, Boston",Children's Hospital Boston,,Suffolk,281,0.317766372,1,Massachusetts,447,48.32005745
131,Duration of Continuous Positive Airway Pressure and Pulmonary Function Testing in Preterm Infants,Completed,Has Results,Device: CPAP and room air,Changes in the Measurements of Functional Residual Capacity (FRC) in Randomized Premature Infants|Measurements of Passive Respiratory Compliance in Randomized Premature Infants|Passive Respiratory Resistance in Randomized Premature Infants|Measurements of Tidal Flow Volume Loops Will be Done in the Randomized Premature Infants.,up to 1 Year   (Child),Not Applicable,50,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,17-Sep,"Oregon Health & Science University, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT02249143,,45.4981929,-122.6864957,"Oregon Health & Science University, Portland",Oregon Health & Science University,"Cindy T McEvoy, MD, MCR",Multnomah,165,0.16653337,2,Oregon,165,1.566470661
132,Phase I Study of Vasoactive Intestinal Peptide in Patients With Acute Respiratory Distress Syndrome and Sepsis,Completed,No Results Available,Drug: vasoactive intestinal peptide,,"18 Years and older   (Adult, Older Adult)",Phase 1,18,Interventional,Primary Purpose: Treatment,,"Veterans Affairs Medical Center - Northport, Northport, New York, United States",https://ClinicalTrials.gov/show/NCT00004494,,40.89379105,-73.30875346,"Veterans Affairs Medical Center - Northport, Northport",Veterans Affairs Medical Center - Northport,Sami I. Said,Suffolk,281,0.317766372,1,New York,281,48.32005745
133,A Comparison of Methods of Discontinuing Nasal CPAP in Premature Infants <30 Weeks Gestation,Completed,Has Results,Device: Discontinue NCPAP after weaning pressures|Device: Discontinue NCPAP without weaning pressures,Number of Days on NCPAP or Mechanical Ventilation|Duration of Endotracheal Ventilation|Number of Participants Who Failed to Wean Off NCPAP|Number of Participants Who Developed Bronchopulmonary Dysplasia|Number of Participants Who Developed Necrotizing Enterocolitis|Number of Days of Life at Which Infant Starting Taking All Feeds by Mouth|Length of Hospital Stay|Number of Participants Who Developed Air Leak Disorders,"Child, Adult, Older Adult",Not Applicable,66,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,31-Mar-19,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT03292562,,29.7029537,-95.4031995,"The University of Texas Health Science Center at Houston, Houston",The University of Texas Health Science Center at Houston,"Brittany Duyka, MD",Harris,918,0.290090595,2,Texas,918,39.76410852
134,Efficacy of Recombinant Human Clara Cell 10 Protein (rhCC10) Administered to Premature Neonates With Respiratory Distress Syndrome,Completed,Has Results,Drug: Half normal saline|Drug: Low Dose rhCC10|Drug: High dose rhCC10,Survival Without Evidence of Chronic Pulmonary Insufficiency of Prematurity (CPIP) at 12 Months Corrected Gestational Age (CGA)|Long Term Efficacy - Survival Without Evidence of Chronic Pulmonary Insufficiency of Prematurity (CPIP) at 6 Months Corrected Gestational Age (CGA)|Safety and Efficacy - Number of Participants With Adverse Events|Short Term Efficacy - Number of Neonates With Oxygen Requirement at 36 Weeks Post Menstrual Age,24 Weeks to 29 Weeks   (Child),Phase 2,88,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",25-Aug-17,"Tufts Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01941745,,42.3494397,-71.06308468,"Tufts Medical Center, Boston",Tufts Medical Center,"Jonathan Davis, MD",Suffolk,281,0.317766372,3,Massachusetts,447,48.32005745
135,Comparison Study of High Frequency Percussive Ventilation With Conventional Ventilation,Withdrawn,No Results Available,Device: High Frequency Percussive Ventilation,Ventilator Associated Pneumonia|Cytokine profiles|Length of stay|Ventilator Days,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2|Phase 3,0,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Dec-09,"Parkland Health and Hospital System, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT00308022,,32.8107052,-96.8385386,"Parkland Health and Hospital System, Dallas",Parkland Health and Hospital System,"Randall Friese, MD",Dallas,614,0.293183356,0,Texas,614,40.72023363
136,The Effects of Different Ventilator Strategies on Inflammation and Injury in Normal Lungs,Terminated,No Results Available,Other: Ventilator settings,"cytokine levels in serum and bronchial aspirate|arterial blood gases|subject post-operative outcome:mortality, pulmonary complications, major cardiac morbidity, LOS, readmission","18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,1,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,10-Mar,"UMDNJ/University Hospital, Newark, New Jersey, United States",https://ClinicalTrials.gov/show/NCT01003730,,40.73942,-74.1896076,"UMDNJ/University Hospital, Newark",UMDNJ/University Hospital,"Ellise Delphin, MD",Essex,7,0.336131483,0,New Jersey,267,53.99761989
137,A Study of Oral ARD-101 in Patients With Prader-Willi Syndrome,Recruiting,No Results Available,Drug: ARD-101,Incidence of Treatment-Emergent Adverse Events (TEAE)|Efficacy Evaluation of Hyperphagia in Prader-Willi Syndrome|Relative Change in Body Weight (%),"17 Years to 65 Years   (Child, Adult, Older Adult)",Phase 2,12,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-May-23,"Stanford University, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT05153434,,37.4387861,-122.1569334,"Stanford University, Palo Alto",Stanford University,,Santa Clara,313,0.173702036,3,California,313,3.782659215
138,Follow-up at School-age of Children Who Participated in the Efficacy Study of Nitric Oxide for Premature Infants,Completed,No Results Available,Drug: Inhaled nitric oxide|Drug: Placebo,Examine school-readiness at school-age in premature infants treated with iNO or placebo in the first week of life|Examine health status at early school-age,4 Years to 6 Years   (Child),Phase 3,160,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",6-Sep,"The University of Chicago, Comer Children's Hospital,, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT00152542,,41.79139685,-87.60084387,"The University of Chicago, Comer Children's Hospital",The University of Chicago,"Michael D Schreiber, M.D.",Cook,0,0.319824519,1,Illinois,1606,48.9563323
139,Extubation Readiness Study in Very Low Birthweight Infants,Terminated,No Results Available,Other: spontaneous breathing trial,time to successful extubation|bronchopulmonary dysplasia|extubation failure rate,48 Hours to 14 Weeks   (Child),Not Applicable,81,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,16-Apr,"The Hospital of the University of Pennsylvania, Phialdelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT01471431,,39.9501477,-75.1938829,"The Hospital of the University of Pennsylvania, Phialdelphia",The Hospital of the University of Pennsylvania,"Ann-Johanna Giaccone, MD",Philadelphia,528,0.359212402,1,Pennsylvania,528,61.13307138
140,Restore Resilience in Critically Ill Children,Completed,No Results Available,Other: R2 Bundle,Change in circadian activity ratio (CAR) - Acute Phase|Melatonin levels|Slow-wave EEG activity|Daily R2 bundle feasibility|Daily R2 bundle adherence|Daily R2 bundle system barriers|Pain free days|Agitation free days|Delirium free days|Iatrogenic withdrawal syndrome free days|Peak daily dose of all sedative agents|Cumulative dose of all sedative agents|Total PICU days of sedation|Time to physiological stability|Parent perception of being well-cared-for|Change in circadian activity ratio (CAR) - Recovery,6 Months to 17 Years   (Child),Not Applicable,56,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,31-Dec-21,"Johns Hopkins University - Charlotte Bloomberg Children's Center, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04695392,,39.2957979,-76.5910806,"Johns Hopkins University - Charlotte Bloomberg Children's Center, Baltimore",Johns Hopkins University - Charlotte Bloomberg Children's Center,"Martha AQ Curley, RN, PhD",,,,2,Maryland,,
141,Pulmonary Vascular Effects of Respiratory Rate & Carbon Dioxide,Withdrawn,No Results Available,Other: HLR|Other: EHR,mean pulmonary artery pressure (mPAP)|Right ventricular systolic function,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,0,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,14-Aug,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01927237,,42.33837185,-71.10970568,"Beth Israel Deaconess Medical Center, Boston",Beth Israel Deaconess Medical Center,"Daniel Talmor, MD MPH",Suffolk,281,0.317766372,4,Massachusetts,447,48.32005745
142,T-Cell Mitochondrial Respiration Response to Ketone Monoester Supplement in Healthy Volunteers and COVID-19,Recruiting,No Results Available,Diagnostic Test: Agilent Seahorse XF Cell Mito Stress Test,Spare Respiratory Capacity (SRC)|Basal Respiration|ATP production-coupled Respiration|Maximal Respiration|Non-Mitochondrial Respiration|Oxygen Consumption Rate (OCR)|extracellular acidification rate (ECAR),"18 Years and older   (Adult, Older Adult)",,15,Observational,Observational Model: Case-Control|Time Perspective: Cross-Sectional,31-Jul-23,"Christina Barkauskas, Durham, North Carolina, United States",https://ClinicalTrials.gov/show/NCT05798260,,36.0043423,-78.9359336,"Christina Barkauskas, Durham",Christina Barkauskas,"Christina Barkauskas, MD",Durham,148,0.353514251,0,North Carolina,148,59.37149161
143,Long Term Follow up of Children Enrolled in the REDvent Study,Recruiting,No Results Available,Diagnostic Test: Ventilation Inhomogeneity|Diagnostic Test: Diaphragm Ultrasound|Diagnostic Test: Respiratory Inductance Plethysmography|Diagnostic Test: Spirometry|Diagnostic Test: Functional Residual Capacity|Diagnostic Test: MIP/MEP|Diagnostic Test: 6 minute walk test|Diagnostic Test: Neurocognitive Testing|Diagnostic Test: Emotional Health Assessment|Diagnostic Test: Health Related Quality of Life|Diagnostic Test: Functional Status|Diagnostic Test: Respiratory Status Questionnaire,Ventilation In-homogeneity using lung clearance index with nitrogen washout|Neurocognitive function using a standardized score derived from Batelle-2 or WISC-5 cognitive tests|Health Related Quality of Life as measured by PedsQL generic core scale|Functional Status as measured by the pediatric functional status scale|Functional Residual Capacity (Lung volume at end-expiration).|Phase Angle (a measure of thoraco-abdominal asynchrony and abnormal respiratory mechanics)|Diaphragm Thickness on exhalation|Diaphragm Thickness on inspiration|Diaphragm Thickening fraction (measure of contractile activity)|Forced Expiratory Volume in 1 second (FEV1)|Forced Vital Capacity (FVC)|Forced expiratory flow at 25-75% (FEF 25-75)|VT - tidal volume from spirometry during tidal breathing|Total Lung Capacity- TLC measured during spirometry|Forced vital capacity- measured during spirometry|Respiratory Muscle Strength Maximum inspiratory pressure (MIP)|Respiratory Muscle Strength Maximum expiratory pressure (MEP)|Respiratory Status - questionnaire detailing respiratory medications and therapies as well as healthcare utilization.|Emotional Health Outcomes using the (BASC-3) to assess emotional and behavioral abnormalities and UCLA Reaction Index to assess post traumatic stress,"1 Month to 18 Years   (Child, Adult)",,240,Observational,Observational Model: Cohort|Time Perspective: Prospective,1-Mar-24,"Children's Hospital Los Angeles, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT03709199,,34.0976912,-118.2900801,"Children's Hospital Los Angeles, Los Angeles",Children's Hospital Los Angeles,,Los Angeles,2126,0.184174979,1,California,2126,7.020362911
144,Effect of Steroid Administration on Maternal Blood Levels of hLPCAT1 mRNA,Recruiting,No Results Available,Other: blood draw,Change in LPCAT1 mRNA levels in maternal plasma after antenatal steroid administration|Number of participants admitted to the NICU with high LPCAT1 mRNA levels|Correlate the LPCAT1 mRNA copy number to need for intubation in the nicu,18 Years to 40 Years   (Adult),,80,Observational,Observational Model: Case-Control|Time Perspective: Prospective,22-May,"Detroit Medical Ceter, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT03562182,,42.35554,-83.0544499,"Detroit Medical Ceter, Detroit",Detroit Medical Ceter,"Maurice Recanati, MD",Wayne,0,0.372694747,0,Michigan,586,65.3011298
145,Lung Ultrasound to Diagnose Transient Tachypnea of the Newborn (TTN) Versus Respiratory Distress Syndrome (RDS) in Neonates,Completed,No Results Available,Other: Respiratory Distress Group|Other: Control Group,lung ultrasound,"28 Weeks and older   (Child, Adult, Older Adult)",,36,Observational,Observational Model: Case-Control|Time Perspective: Prospective,13-Jun,"Icahn School of Medicine at Mount Sinai, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01517958,,40.789793,-73.95325356,"Icahn School of Medicine at Mount Sinai, New York",Icahn School of Medicine at Mount Sinai,"Ian Holzman, MD",New York,761,0.330219043,2,New York,761,52.16979281
146,Curosurf and Survanta Treatment(CAST)of RDS in Very Premature Infants,Terminated,Has Results,Drug: Survanta (beractant)|Drug: Curosurf (poractant),Comparison Respiratory Support (Mean Airway Pressure) for Survanta (Beractant) and Curosurf (Poractant) at 48 Hours After Surfactant Administration.|Comparison of Respiratory Support (Mean Airway Pressure) for Curosurf (Poractant) and Survanta (Beractant) 72 Hours After Surfactant Administration|Comparison Respiratory Support (Mean Airway Pressure x Percent Fraction of Inspired Oxygen) for Survanta (Beractant) and Curosurf (Poractant) at 48 Hours After Surfactant Administration.|Comparison Respiratory Support (Mean Airway Pressure x Percent Fraction of Inspired Oxygen) for Survanta (Beractant) and Curosurf (Poractant) at 72 Hours After Surfactant Administration.|Comparison of Infants Successfully Extubated at 48 Hours for Curosurf (Poractant) and Survanta (Beractant) Groups|Comparison of Infants Successfully Extubated at 72 Hours for Curosurf (Poractant) and Survanta (Beractant) Groups|Comparison of Hemodynamically Significant Patent Ductus Arteriosus (PDA) in Patients Treated With Curosurf (Poractant) and Survanta (Beractant)|Changes in Blood Flow Through the Patent Ductus Arteriosus (PDA) Following Second Dose of Survanta (Beractant) and Poractant Alfa (Curosurf)|Change in Anterior Cerebral Artery Blood Flow Velocity Following Second Dose of Surfactant|Patients With Bronchopulmonary Dysplasia (Supplemental Oxygen at 36 Week Post Menstrual Age)|Bronchopulmonary Dysplasia (Supplemental Oxygen at 36 Week Post Menstrual Age) or Death Before Discharge From NICU.,up to 8 Hours   (Child),Phase 4,52,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9-Jan,"Boston Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00767039,,42.33417195,-71.07464492,"Boston Medical Center, Boston",Boston Medical Center,"Alan M Fujii, MD",Suffolk,281,0.317766372,0,Massachusetts,447,48.32005745
147,Pragmatic Investigation of Volume Targeted Ventilation-1,"Active, not recruiting",No Results Available,Procedure: mode of mechanical ventilation,Percentage of patients receiving Assist Volume Control|assist volume control duration|Percentage of mode crossover|exhaled tidal volume|Number of ventilator free days|intensive care length of stay,"18 Years and older   (Adult, Older Adult)",Not Applicable,139,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,23-Dec,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03909854,,36.08983775,-80.26771223,"Wake Forest Baptist Medical Center, Winston-Salem",Wake Forest Baptist Medical Center,"Kevin Gibbs, MD",Forsyth,259,0.361796043,0,North Carolina,259,61.93180236
148,Does a Rescue Course of Betamethasone in Pregnant Women With PPROM Decrease Neonatal Morbidity?,Recruiting,No Results Available,Drug: Betamethasone|Drug: Placebo,Length of stay in the neonatal intensive care unit (NICU)|Composite neonatal morbidity|Duration of oxygen and ventilatory support|Development of Respiratory Distress Syndrome (RDS)|Grade III or IV intraventricular hemorrhage (IVH)|Neonatal Sepsis|Necrotizing enterocolitis (NEC) stage 2 or 3|Perinatal death,18 Years to 50 Years   (Adult),Phase 2|Phase 3,98,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",30-Nov-23,"University of Texas Medical Branch in Galveston, Galveston, Texas, United States",https://ClinicalTrials.gov/show/NCT02939742,,29.3013479,-94.7976958,"University of Texas Medical Branch in Galveston, Galveston",University of Texas Medical Branch in Galveston,"Antonio Saad, MD",Galveston,26,0.294301711,0,Texas,26,41.06597237
149,Trans Thoracic Manipulation of Ventilation/Perfusion: the V/Q System,Enrolling by invitation,No Results Available,Device: V/Q System,Change in Arterial Oxygenation Levels,"18 Years and older   (Adult, Older Adult)",Not Applicable,36,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,24-May,"Emory University Hospital, Atlanta, Georgia, United States",https://ClinicalTrials.gov/show/NCT04369599,,33.792151,-84.32208293,"Emory University Hospital, Atlanta",Emory University Hospital,"Maxwell Weinmann, MD",DeKalb,4,0.359792718,1,Georgia,168,61.31247571
151,Humidified High Flow Nasal Cannula as Compared to Nasal Continuous Positive Airway Pressure,Completed,No Results Available,Device: High Flow Nasal Cannula,Mean esophageal pressure|Vital signs,"72 Hours and older   (Child, Adult, Older Adult)",Phase 3,16,Interventional,Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,7-Sep,"Children's Hospital and Clinics of Minnesota, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT00356668,,46.729553,-94.6858998,"Children's Hospital and Clinics of Minnesota, Minneapolis",Children's Hospital and Clinics of Minnesota,"Mark C Mammel, MD",Cass,0,0.329913391,1,Minnesota,0,52.07530069
152,Human Mesenchymal Stem Cells For Acute Respiratory Distress Syndrome,Completed,Has Results,Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells,Incidence of Pre-specified Infusion Associated Adverse Events|Incidence of Severe Adverse Events (SAEs)|Ventilator Free Days at Study Day 28|Duration of Vasopressor Use (Days)|ICU Free Days to Day 28|Hospital Survival to Day 60|Mortality at Hospital Discharge,"18 Years and older   (Adult, Older Adult)",Phase 1,9,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-Feb,"University of California San Francisco Medical Center, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT01775774,,37.7627945,-122.4580139,"University of California San Francisco Medical Center, San Francisco",University of California San Francisco Medical Center,,,,,3,California,337,
153,Retrospective Review of Mechanically Ventilated Patients Using a Continuous Data Collection System.,Completed,Has Results,,Successful Extubation,"1 Day to 35 Years   (Child, Adult)",,278,Observational,Observational Model: Cohort|Time Perspective: Retrospective,9-Jan-17,"Boston Children's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02184208,,42.33716075,-71.10568624,"Boston Children's Hospital, Boston",Boston Children's Hospital,,Suffolk,281,0.317766372,3,Massachusetts,447,48.32005745
154,Study of the Pathobiology of Bronchopulmonary Dysplasia in Newborns,Completed,No Results Available,,,"0 Years and older   (Child, Adult, Older Adult)",,200,Observational,,,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00006058,,39.94769755,-75.19498022,"Children's Hospital of Philadelphia, Philadelphia",Children's Hospital of Philadelphia,Roberta A. Ballard,Philadelphia,528,0.359212402,1,Pennsylvania,528,61.13307138
155,Clinical Trial of Nebulized Hypertonic Saline to Attenuate Post-Traumatic Acute Lung Injury,Terminated,No Results Available,Drug: Nebulized hypertonic saline,change in the respiratory parameters|death within 28 days|lung dysfunction scores|ventilator-free days (VFD)|MOF scores (Denver MOF score),"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,13,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,6-Nov-18,"Denver Health Medical Center, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT01667666,,39.72731935,-104.9911984,"Denver Health Medical Center, Denver",Denver Health Medical Center,"Ernest E Moore, MD",,,,0,Colorado,,
156,ED Lung Protective Ventilation to Reduce Complications,Completed,Has Results,Procedure: lung protective ventilation,Number of Patients That Experience Pulmonary Complications After Admission From the Emergency Department|Number of Patients That Die During the Hospitalization,"18 Years and older   (Adult, Older Adult)",,1705,Observational,Observational Model: Other|Time Perspective: Other,16-Mar,"Washinton University School of Medicine in St. Louis, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT02543554,,38.6351441,-90.2629289,"Washinton University School of Medicine in St. Louis, Saint Louis",Washinton University School of Medicine in St. Louis,"Brian M Fuller, MD, MSCI",,,,1,Missouri,468,
157,MRG-001 as an Immunoregulatory and Regenerative Therapy for COVID-19 Patients,Recruiting,No Results Available,Drug: MRG-001|Drug: Placebo,"Safety and Tolerability|Change in percentages from baseline in circulating white blood cell subpopulations|Change in Plerixafor concentration (ng/ml) from baseline in blood|Change in Tacrolimus concentration (ng/ml) from baseline in blood|Change from baseline in ALT, AST, INR, Albumin, Bilirubin, LDH, BUN, eGFR|Change in percentages from baseline in circulating stem cells and immune cells|All-cause mortality assessed at 14, 28 and 60 days following randomization.|Time to clinical improvement from randomization by at least 2 points on the 8-point ordinal scale of WHO clinical improvement scale assessed up to 14 and 60 days (1=Asymptomatic, no limitations of activities; 8=death).","18 Years and older   (Adult, Older Adult)",Phase 2,40,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1-Jul-22,"Johns Hopkins Medicine, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04646603,,39.2992161,-76.5933799,"Johns Hopkins Medicine, Baltimore",Johns Hopkins Medicine,"Russell N Wesson, M.B.Ch.B",,,,0,Maryland,,
159,Biomarkers of Lung Injury With Low Tidal Volume Ventilation Compared With Airway Pressure Release Ventilation,Terminated,No Results Available,Other: low-tidal-volume ventilation|Other: APRV,The study will be powered to detect a decrease in plasma IL-6 levels (pg/ml) from ARDSNet to APRV|Changes in dose of sedation medications|Riker score|Lung mechanics|Oxygenation with APRV versus ARDSNet,"18 Years and older   (Adult, Older Adult)",Not Applicable,3,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,16-Sep,"Boston Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01038531,,42.33417195,-71.07464492,"Boston Medical Center, Boston",Boston Medical Center,"George O'Connor, MD",Suffolk,281,0.317766372,0,Massachusetts,447,48.32005745
160,Acute Lung Injury Ventilator Evaluation (ALIVE),Terminated,No Results Available,Other: Low-tidal-volume ventilation|Other: Airway Pressure Release Ventilation (APRV),"Impact of APRV and ARDSNet ventilator modes upon plasma expression of Interleukin-6 (IL-6)|Impact of APRV and ARDSNet ventilator modes upon plasma expression of Soluble receptors of tumor necrosis factor alpha (sTNFa-R1)|Impact of APRV and ARDSNet ventilator modes upon static lung compliance (L/cmH2O).|Impact of APRV and ARDSNet ventilator modes upon plasma expression of Interleukin-8 (IL-8)|Impact of APRV and ARDSNet ventilator modes upon plasma expression of Interleukin-1 receptor antagonist (IL1-r-a)|Impact of APRV and ARDSNet ventilator modes upon plasma expression of Surfactant, pulmonary-associated protein D (SP-D)|Impact of APRV and ARDSNet ventilator modes upon Oxygenation (PaO2)|Impact of APRV and ARDSNet ventilator modes upon Ventilation (PaCO2)|Impact of APRV and ARDSNet ventilator modes upon Tissue metabolism (lactate)|Impact of APRV and ARDSNet ventilator modes upon Non-spontaneous tidal volumes|Impact of APRV and ARDSNet ventilator modes upon sedation utilized|Impact of APRV and ARDSNet ventilator modes upon Riker Sedation-Agitation Scale score|Impact of APRV and ARDSNet ventilator modes upon Cardiac output","18 Years and older   (Adult, Older Adult)",Not Applicable,4,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,14-Oct,"University of Wisconsin-Madison, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01901354,,43.08027445,-89.43095872,"University of Wisconsin-Madison, Madison",University of Wisconsin-Madison,"Suresh Agarwal, MD",Dane,39,0.244724763,0,Wisconsin,39,25.73929029
161,Genetic Variability and Biomarkers in Children With Acute Lung Injury,Withdrawn,No Results Available,,Development of ALI or ARDS,"2 Weeks to 18 Years   (Child, Adult)",,0,Observational,Observational Model: Case-Control|Time Perspective: Prospective,13-Jun,"Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01048996,,43.0515268,-87.9194418,"Children's Hospital of Wisconsin, Milwaukee",Children's Hospital of Wisconsin,"Michael Quasney, PhD, MD",Milwaukee,381,0.258229187,0,Wisconsin,381,29.91417442
